_sid,date,dayoftheweek,col_1,col_2,col_3,col_4,col_5,col_6,col_7
141,2016/02/19,Fri,0.0885096255,-0.0664696,-0.0604406362,0.0315228744,0.0301477183,-0.0157235727,-0.0121683264
142,2016/02/20,Sat,5.9015264726,1.8485279515,-0.8209546817,-0.6353291782,-0.5346110692,-0.4598026247,0.1857775698
143,2016/02/21,Sun,-6.4156508354,5.7607904748,3.8610498521,0.9800246573,-0.9800150594,-0.3069689238,-0.0961515023
144,2016/02/22,Mon,0.9200260382,-0.6226478223,0.6015511255,-0.6015452343,0.3046018382,-0.2812871405,-0.2393482192
145,2016/02/23,Tue,-0.8080752906,-0.7224166138,0.2918835076,-0.2497121723,0.1657174588,-0.1361895635,0.1305954784
146,2016/02/24,Wed,2.9050933833,-1.6657278824,0.8687620463,-0.1378053543,-0.1310604235,-0.1181887627,0
147,2016/02/25,Thu,-1.1176619928,0.8458493851,0.3553980297,-0.1853581985,0.1402795472,0.0380025413,-0.0212354039
148,2016/02/26,Fri,-1.2262599273,0.3426360285,-0.152169001,-0.0161280138,0.0134148745,0.0089910403,0.0015047018
149,2016/02/27,Sat,-5.753545648,5.2732485633,0.0933466511,-0.0776433867,-0.0095946358,-0.001605717,0.0010656082
150,2016/02/28,Sun,6.7785512277,-0.1799783577,0.1539750808,0.1405708187,0.1293288135,-0.0205144815,0.0036121001
151,2016/02/29,Mon,0.6702291758,0.0237249753,-0.0037633189,-0.00311162,-0.0005207473,-0.0005018939,0.0004944389
152,2016/03/01,Tue,1.9021093065,1.8708914044,-1.7940431829,-0.9892832783,-0.1655621958,-0.1281270406,0.1280254146
153,2016/03/02,Wed,0.5020671009,0.4967242266,-0.2515240815,0.2418146211,-0.2417554184,0.1604370874,-0.071252143
154,2016/03/03,Thu,-3.9999608262,3.0729885498,-0.0815913923,-0.0546849316,0.0420119536,-0.0212734098,0.011573184
155,2016/03/04,Fri,-0.1327557701,-0.1221387652,0.1127900745,0.0019966015,-0.0017928037,0.0002372807,-0.0002358306
156,2016/03/05,Sat,-3.8612288001,-1.6223610635,1.3879623029,-0.594301404,0.4392961258,0.1739283846,-0.0500745588
157,2016/03/06,Sun,-3.5445594878,1.374515075,-1.0160150107,0.7630143155,-0.7046120149,0.0808787589,0.0695613461
158,2016/03/07,Mon,0.7738906816,0.6585063085,-0.4945298396,-0.3625844914,0.2979784023,0.2930879049,-0.2631717427
159,2016/03/08,Tue,0.2822400161,-0.2414619727,0.181334862,0.1635256656,0.0925731281,0.0705924211,-0.0695438597
160,2016/03/09,Wed,2.5802082174,1.6429166384,-1.4752203267,0.7470008865,-0.2276938042,-0.0281368344,-0.0009959962
161,2016/03/10,Thu,3.0502338019,-0.0809872275,0.0422389697,0.0059607637,-0.0045111209,0.0025207649,-0.0013525742
162,2016/03/11,Fri,4.9467912331,2.5425441201,0.796397999,0.5070968748,-0.2048862272,-0.2015235823,-0.1283177242
163,2016/03/12,Sat,-5.6896928476,1.0018161955,-0.8233104185,0.7852344956,-0.6717837992,-0.1006850813,-0.0414941832
164,2016/03/13,Sun,5.1323322405,2.8301049344,2.5521556525,-2.1596861878,-0.8900466003,-0.5965351994,-0.1868519942
165,2016/03/14,Mon,0.1411200081,-0.1173800584,-0.1173697125,-0.0483702281,0.0135153914,-0.0134327942,0.0120616777
166,2016/03/15,Tue,-1.9178485493,-1.014700462,0.51380945,0.4690798972,-0.2689619095,0.0308727427,-0.0048971168
167,2016/03/16,Wed,-2.9992655201,0.914207986,-0.1609697379,0.1535253145,-0.0800712816,0.0021259849,-0.0011407459
168,2016/03/17,Thu,-0.0354052372,0.0227846202,0.0173746047,0.0134460447,0.0123707112,0.0017457549,-1.5452216261581E-05
169,2016/03/18,Fri,-4.8069874594,4.5583803611,-3.4497936318,3.4214323728,-3.3055066142,2.9933952653,1.9060085358
170,2016/03/19,Sat,-4.6095279679,-1.7498124899,-0.2162297936,0.0567332605,0.0020082611,0.0018110265,0.0012138028
171,2016/03/20,Sun,-2.7144714479,-1.1839567747,1.0631075607,0,0,0,0
172,2016/03/21,Mon,0.9906073557,0.9800655565,-0.2403630236,0.2374862686,0.1591702261,-0.0865919632,0.0574653609
173,2016/03/22,Tue,-0.2647035002,0.2239975029,0.097699816,0.0727974187,-0.0178537115,-0.0094460896,-0.0091472575
174,2016/03/23,Wed,0.3707193682,0.2484669366,0.1043976165,-0.0447012501,-0.0184222115,-0.0167512695,0.0004447655
175,2016/03/24,Thu,3.8734578444,-2.5705578746,-1.6716025283,1.6578600389,1.5855374339,-1.0522163658,0.4505408124
176,2016/03/25,Fri,-4.9694432696,-0.5266989269,0.5203951962,-0.499019586,-0.264022623,0.1982776227,-0.1545506793
177,2016/03/26,Sat,-5.4991292875,5.4174466534,0.9066405785,-0.4864787808,-0.4688660045,-0.462596137,-0.2550878526
178,2016/03/27,Sun,5.1323322405,-5.1322819773,-5.0957023975,3.4486284833,1.3091260613,1.170354331,-1.169426046
179,2016/03/28,Mon,0.9999118601,-0.4281449295,-0.3893110827,0.0446870001,-0.019134199,0.0175369057,0.0066571451
180,2016/03/29,Tue,-1.8965642825,1.4353245815,-1.4235245678,0.8162231815,0.7360605542,0.1994030647,0.1668316984
181,2016/03/30,Wed,2.7600781146,2.7404060666,2.7146664071,2.2712409563,0.9906352558,0.2514463719,0.2480839284
182,2016/03/31,Thu,-1.7764506748,-1.7202517004,1.7097386469,-1.1571031698,-0.7524501212,-0.2856358892,-0.0050563051
183,2016/04/01,Fri,-0.6617587505,-0.601735529,-0.0106518773,0.0072088918,0.0022580324,-0.0002988545,3.9553921529626E-05
184,2016/04/02,Sat,-2.6646760122,2.2164102043,0.6568743421,-0.4445541339,0.3653425166,0.2496245544,-0.2494265607
185,2016/04/03,Sun,6.6573825728,-6.4318156053,4.8302114932,0.6816394848,-0.4613144881,-0.2371057083,0.1525865649
186,2016/04/04,Mon,-0.5215510021,-0.4437895859,-0.2348013862,0.177698275,0.14692603,0.0435442587,0.0374510847
187,2016/04/05,Tue,-0.7755632708,0.5146900659,0.4601312017,-0.3827255118,-0.0472945867,-0.026079497,-0.0113749574
188,2016/04/06,Wed,2.2353394814,2.21155155,1.8609564607,-0.5357755372,-0.3660749123,0.1909267373,-0.1880907613
189,2016/04/07,Thu,-2.6545355369,-2.0242385057,2.0000116584,0.2119762591,0.0628231026,0.0412739365,0.0354984501
190,2016/04/08,Fri,4.9995593005,-4.7409927989,-4.6631824182,-4.6627714058,4.2225048921,0.0747464654,0.0682394306
191,2016/04/09,Sat,-0.7941105006,-0.7884505956,0.0905021548,0.0111836339,0.0013819966,-0.000219216,0.0001985173
192,2016/04/10,Sun,5.1323322405,0,0,0,0,0,0
193,2016/04/11,Mon,-0.1760756199,0.046197815,0.006519436,0.0027392521,-0.0004345075,4.98748603486963E-05,-4.98743719017803E-05
194,2016/04/12,Tue,1.1028533625,-1.0575528607,0.9576969873,-0.4253253648,-0.0450791771,0.0445396526,-0.0286629649
195,2016/04/13,Wed,1.5872480584,-0.2517735231,-0.1388346383,-0.1034475161,-0.0983842415,0.0652911164,-0.0364839608
196,2016/04/14,Thu,-3.1178642785,2.9975068973,2.4784246697,-1.2926248701,1.007557227,0.1245069929,0.0337296651
197,2016/04/15,Fri,-4.9960341709,-3.1811648416,-2.7360225551,0.6710149639,-0.0888100048,0.0156372767,0.0106843525
198,2016/04/16,Sat,5.5201562292,0.1954041613,-0.1322440567,0.1322116798,0.1181968006,0,0
199,2016/04/17,Sun,-5.4562624873,2.9276826842,-1.5709152408,1.5521139367,-0.9776579345,-0.1636166283,-0.0173413193
200,2016/04/18,Mon,0.4361647552,-0.2806886524,0.0445235832,-0.0051106312,0.000810662,-0.0001072925,8.36308860297432E-05
201,2016/04/19,Tue,-1.073145836,0.6906102681,-0.3757065653,0.2777150406,-0.2754319046,0.002437933,0.0017874689
202,2016/04/20,Wed,1.6542800437,0.247938877,0.0087766154,-0.0068410739,-0.0067495923,-0.0067463536,0.005708902
203,2016/04/21,Thu,1.1854743148,1.1849054752,-1.0026911901,1.0024457046,-0.280098866,0.1606036121,0.0503056739
204,2016/04/22,Fri,-0.793113344,0.7269054697,0.7217245586,-0.5420059392,-0.0764878825,-0.0107939706,0.0054656958
205,2016/04/23,Sat,5.9572358885,-1.0489240022,-0.3981796689,0.3978638464,-0.3366805049,-0.2211945798,-0.059922892
206,2016/04/24,Sun,-4.5047669335,-3.724670495,3.6693452097,-3.3228796246,3.2735224362,2.9265181362,-0.3359198393
207,2016/04/25,Mon,0.9017883476,0.8869879677,-0.8527480075,-0.7256062851,-0.4863225025,-0.0728886597,0.0493290008
208,2016/04/26,Tue,1.6733112771,1.3835417536,-1.3267117725,-1.3089704415,-1.2914663547,0.521801025,-0.0138544194
209,2016/04/27,Wed,-1.609718754,1.609324652,0.2271079079,0.0711367335,-0.0112838985,-0.0087325039,-0.0001545821
210,2016/04/28,Thu,2.6011513606,0.6602329854,0.5678461915,0.2155588089,0.0940191551,0.0854913758,0.035920658
211,2016/04/29,Fri,-2.86690936,2.8662074642,-1.2272603633,0.3009880408,0.0942781175,-0.0231218955,-0.0072424432
212,2016/04/30,Sat,-4.0606317413,0.7149782512,0.7054172704,-0.3571990684,-0.2022131205,-0.2021160903,-0.1564157588
213,2016/05/01,Sun,2.074580051,-2.0042886525,-2.0041119948,1.5621372996,0.994672191,-0.7753132233,0.5730965685
214,2016/05/02,Mon,0.6569865987,0.2057871124,-0.0831457403,0.083144926,-0.0523719907,0.0496634235,-0.0445941627
215,2016/05/03,Tue,-1.3535439138,0.389689782,-0.2949181994,-0.166955445,0,0,0
216,2016/05/04,Wed,-1.5190969233,-1.3580675811,-0.5706152314,0.5659241199,-0.3244906313,-0.3103350288,0.2384163324
